Manuscript Identifier	COI	Funding
PONE-D-15-18764	The authors have declared that no competing interests exist.	"This work was supported by the Swedish Research Council, grant K2012-57X-07492-25-6, http://www.vr.se/ (BH); Hans von Kantzow’s Foundation (no grant number) (BH); King Gustaf V:s 80 Years Foundation (no grant number, http://ams.orbelon.com/gv80/) (BH) Ollie and Elof Ericsson’s Foundation (no grant number or web page) (BH); and Agnes and Mac Rudberg’s Foundation (no grant number, http://www.uu.se/) (JJEB). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18769	The authors have declared that no competing interests exist.	"The work reported in this article was generously supported by grants from Tianjin Public Health Bureau (2013KG122) to J.W. (http://www.tjwsj.gov.cn), Tianjin Municipal Science and Technology Commission (13JCYBJC23200) to J.W. (http://www.tstc.gov.cn), and (13ZCZDSY01600) to X.T. (http://www.tstc.gov.cn)."
PONE-D-15-18783	Leif A. Kirsebom is on the board of directors of Bioimics AB. Leif A. Kirsebom and Santanu Dasgupta are holders of Swedish patent application number PCT/SE2008/051486. This does not alter the authors' adherence to all PLOS policies on sharing data and materials.	"This work was funded by the Swedish Research Council (M), the Swedish Research Council-SIDA, the Swedish Research Council for Environment, Agricultural Sciences, and Spatial Planning (FORMAS), and Uppsala RNA Research Center (Swedish Research Council Linneus support) to L. A. Kirsebom. D. G. Ennis acknowledges support by the Louisiana Board of Regents Research and Development Grant (RD01-A-38) and NIH grant (5R21AI055964-01), NIEHS grant (P30 ES03850) through Oregon State as well as by AM student travel awards to Wind River Conferences, Louisiana Graduate Fellowship award and funds for supplies and travel by the University of Louisiana Graduate Student Organization to KMR and MNC. Pamela L. C. Small acknowledges the UBS Optimus Foundation Zürich, Switzerland. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18801	The authors have declared that no competing interests exist.	The authors received no specific funding for this work. Funding of the work was obtained from the Paul-Ehrlich-Institut only. 
PONE-D-15-18809	The authors have declared that no competing interests exist.	"Funding provided by BMBF NGFN2 CancerNet Programme N1KR-S21T28, http://www.bmbf.de/en/index.php; European Union (FP7 collaborative project TuMIC, contract no. HEALTH-F2-2008-201662), http://ec.europa.eu/research/fp7/index_en.cfm; Wilhelm Sander Foundation, Munich, Germany 2012.036.1, http://www.sanst.de/cms/front_content.php?idcat=1&lang=1.  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18818	"AK, BL and JPS are employees of Bayer Pharma AG. LSH was an employee of Bayer Pharma AG at the time the study was conducted. JPS is a co-inventor in several applications on sGC activators, including cinaciguat. The commercial affiliation does not alter the authors’ adherence to PLOS ONE policies on sharing data and materials."	"The authors received no specific funding for this work. Bayer Pharma AG provided support in the form of salaries for authors LSH, AK, BL, and JPS, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-18848	The authors have declared that no competing interests exist.	This study was supported by NIH F32 Grant: 1F32HL091643-01 (KN) and RO1 Grant: R01 HL083917 (RS).
PONE-D-15-18858	The authors have declared that no competing interests exist.	"This work was supported by grants from the National Natural Science Foundation of China (No. 81300453; 81370469) and Program of International Science and Technology Cooperation of China (No. 2013DFA31400). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18864	The authors have declared that no competing interests exist.	"This project was supported by NIH grant 1R01GM111295-01 and UTSW Department of Surgery internal funding to Q. S. Zang. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18873	The authors have declared that no competing interests exist. 	"This work was supported by the Swiss National Science Foundation (http://www.snf.ch/fr/Pages/default.aspx) grant number 31003A_144198/1, to AK, DA, AMM, SM and EH, the National Center for Competence in Research (NCCR) Kidney Control of Homeostasis (Kidney.CH) (http://www.nccr-kidney.ch) to AK, AMM, JB, SM and EH, and Fondation Leducq, grant number 26077648 (https://www.fondationleducq.org) to AK, DA, AMM, SM and EH. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18879	The authors have declared that no competing interests exist.	"This work was supported by National Institutes of Health Grants HL080101 and HL096819 (AVG), UC Davis funds (AVG), and a VA RR&D Merit 1I01RX000673 (SCB). The funders did not play a role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-18893	The authors have declared that no competing interests exist.	The authors received no specific funding for this work.
PONE-D-15-18900	The authors have declared that no competing interests exist.	"This study was supported in part by grants from the Japanese Ministry of Education, Culture, Sports, Science, and Technology (KS, TF, SO, YI), a Grant for Strategic Research Promotion of Yokohama City University (TF, SO), the Ministry of Health, Labor and Welfare (YI), a Grant-in-Aid for Scientific Research on Innovative Areas (YI), the Kitsuen Kagaku Research Foundation (YI), the Japan Space Forum (YI), Takeda Science Foundation (YI), Yokohama Foundation for Advancement of Medical Science (SO), Mitsubishi Pharma Research Foundation (SO), Suzuken Memorial Foundation (SO), Yokohama Academic Foundation (SO), 2010 Commercialization Promotion Program for Biotechnology-related Studies (SO),  Grants for Research and Development Project II from Yokohama City University (SO, YI), and Research Foundation for Community Medicine (SO).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18903	"Toshiaki Waga is employed by Asahi Breweries, Ltd. Authors acknowledge the generous gift of apple polyphenols from Fundamental Research Laboratory, Asahi Breweries, Ltd, Japan. Asahi Breweries, Ltd. retains a patent for the apple polyphenols (trade name: APPLE PHENON; US Patent Numbers: US6855352B2 for Wild apple polyphenol and process for producing the same, US5994413A and US5932623A for Process for the production of fruit polyphenols from unripe Rosaceae fruit. Europe Patent Numbers: EP657169B1 for Unripe apple polyphenol mixture; process for production of unripe Rosaceae fruit polyphenol mixtures, EP1317928A1 for Wild apple polyphenol and process for producing the same. All licensed to Asahi Breweries, Ltd, Japan). There are no further patents, products in development or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials, as detailed online in the guide for authors."	"This work was supported by Grants-in-Aid for Challenging Exploratory Research 20658067, 23658242, Scientific Research (B) 19380152, 22380145, 25292164 and Scientific Research (A) 24248045 from the Japan Society for the Promotion of Science (JSPS; http://www.jsps.go.jp/j-grantsinaid/ index.html; http://www.jsps.go.jp/j-inv/index.html) (all to RT) and by Grants-in-Aid for Young Scientists (A) 26712023 and Scientific Research (C) 22580136 from JSPS (http://www.jsps.go.jp/j-grantsinaid/ index.html; http://www.jsps.go.jp/j-inv/index.html) (to WM). The research was also supported by funds from a Discovery Grant from the Natural Sciences and Engineering Research Council of Canada (http://www.nserc-crsng.gc.ca/) (to JEA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Asahi Breweries, Ltd. provided support in the form of a salary for author TW, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific role of this author is articulated in the ‘author contributions’ section."
